name;description;category;notes;footprint;tag;quantity;storage;mass;ipn;mpn;manufacturing_status;manufacturer;supplier;spn;price;favourite;needs_review;minamount;partUnit;manufacturing_status
GCM188R72A103KA37;MLCC Automotive, 0603, 100V, 10%, X7R, MLCC Automotive, 10nF, 0603, 100V, 10%, X7R;;C101, C211, C212;;Inverte Logica;0;;;;GCM188R72A103KA37;;MURATA;Mouser;;;0;0;;;
GCM155R71E183KA55*;MLCC Automotive, 18nF, 0402, 25V, 10%, X7r;;C108, C113;;Inverte Logica;2;;;;GCM155R71E183KA55*;;MURATA;Mouser;;;0;0;;;
GCM188R71C105KA64J;MLCC Automotive, 1uF, 0603, 16V, 10%, X7R;;C117, C119, C134, C149, C168, C185, C187, C207, C214, C217;;Inverte Logica;10;;;;GCM188R71C105KA64J;;MURATA;Mouser;;;0;0;;;
GCM1555C1H6R8BA16*;MLCC Automotive, 6.8pF,0402, 50V, 5%, COG(NPO);;C125, C126;;Inverte Logica;2;;;;GCM1555C1H6R8BA16*;;MURATA;Mouser;;;0;0;;;
GCM188R72A103KA37;MLCC Automotive, 0603, 100V, 10%, X7R;;C132, C206;;Inverte Logica;2;;;;GCM188R72A103KA37;;MURATA;Mouser;;;0;0;;;
GCM155R71E223KA55;MLCC Automotive, 22nF, 0402, 25V, 10%, X7r;;C133, C139, C141;;Inverte Logica;3;;;;GCM155R71E223KA55;;MURATA;Mouser;;;0;0;;;
GCM188R71C105KA64J;MLCC Automotive, 1uF, 0603, 16V, 10%, X7R;;C137;;Inverte Logica;0;;;;GCM188R71C105KA64J;;MURATA;Mouser;;;0;0;;;
GCM1555C1H470JA16;MLCC Automotive, 47pF, 0402, 50V, 5%, COG;;C152, C153;;Inverte Logica;2;;;;GCM1555C1H470JA16;;MURATA;Mouser;;;0;0;;;
GCM155L81H472KA37*;MLCC Automotive, 4.7nF, 0402, 25V, 10%, X7r;;C154;;Inverte Logica;1;;;;GCM155L81H472KA37*;;MURATA;Mouser;;;0;0;;;
VJ2220Y222KXUSTX1;CAP, CERAMIC 2.2nF 10% 250Vac (1.5KVac 60s)  - X1/Y2 2220 SM;;C155;;Inverte Logica;1;;;;VJ2220Y222KXUSTX1;;VISHAY;Mouser;;;0;0;;;
MSASE21GBB5226MTNA01;MLCC, Gen Purpose, 0805, 16V,20%, X5R;;C161;;Inverte Logica;1;;;;MSASE21GBB5226MTNA01;;TAIYO YUDEN;Mouser;;;0;0;;;
GCM188R71C334KA37J;MLCC Automotive, 330nF, 0603, 16V, 10%, X7R;;C190;;Inverte Logica;1;;;;GCM188R71C334KA37J;;MURATA;Mouser;;;0;0;;;
GCM155R71H473KE02J;MLCC Automotive, 47nF, 0402, 50V, 10%, X7r;;C197, C198, C200, C201;;Inverte Logica;0;;;;GCM155R71H473KE02J;;MURATA;Mouser;;;0;0;;;
GCM1555C1H6R8BA16*;MLCC Automotive, 6.8pF,0402, 50V, 5%, COG(NPO);;C213;;Inverte Logica;0;;;;GCM1555C1H6R8BA16*;;MURATA;Mouser;;;0;0;;;
S320;Schottky Rectifier Diode 3A 200V SMB;;D1;;Inverte Logica;1;;;;S320;;OnSemi;Mouser;;;0;0;;;
BZW50-82B;TVS Bidir 82V 5KW PTH-Vertical;;D2;;Inverte Logica;1;;;;BZW50-82B;;ST;Mouser;;;0;0;;;
STTH102AY;Ultafast Rectifier Diode 1A 200V SMA;;D3, D5, D6, D7, D8, D10, D11;;Inverte Logica;7;;;;STTH102AY;;ST;Mouser;;;0;0;;;
SM30T30AY;TVS Uniir 30V SMA;;D4, D39;;Inverte Logica;2;;;;SM30T30AY;;ST;Mouser;;;0;0;;;
STPST5H100SF;Shottky Rectifier Diode 5A 100V Automotive 2A-K PSMC;;D9, D29;;Inverte Logica;2;;;;STPST5H100SF;;ST;Mouser;;;0;0;;;
;;;;;Inverte Logica;;;;;;;;Mouser;;;0;0;;;
MBR0540-TP;Schottky Rectifier Diode 0.5A 40V SOD123;;D12, D14, D15, D16, D17, D18, D21;;Inverte Logica;7;;;;MBR0540-TP;;MCC;Mouser;;;0;0;;;
;Voltage Reference TL43z 0.5% AEC;;D13;;Inverte Logica;1;;;;;;;Mouser;;;0;0;;;
SM6T75AY;TVS Uniir 75V SMA;;D19;;Inverte Logica;0;;;;SM6T75AY;;ST;Mouser;;;0;0;;;
BAT54S;Dual Schottky Diode,  Dual Series, SOT23, 0.2A, 30V;;D20, D22, D24, D25, D38;;Inverte Logica;5;;;;BAT54S;;NEXPERIA;Mouser;;;0;0;;;
1SS405;Single Schottky, High Switching, 50mA, SOD523, 20V;;D23, D27, D28, D34, D35;;Inverte Logica;5;;;;1SS405;;TOSHIBA;Mouser;;;0;0;;;
PESD2CANFD24LT-QR;Dual TVS for CAN ESD protection SOT23-3;;D26;;Inverte Logica;1;;;;PESD2CANFD24LT-QR;;NEXPERIA;Mouser;;;0;0;;;
SMA6T12CAY;TVS Bidir 12V SMA;;D30, D36, D37;;Inverte Logica;3;;;;SMA6T12CAY;;ST;Mouser;;;0;0;;;
ESDALC6V1W5;4Ch Transil array for data 6V1, SOT323-5;;D31, D32;;Inverte Logica;2;;;;ESDALC6V1W5;;ST;Mouser;;;0;0;;;
BAT54AWFILMY;Dual Schottky Diode,  Common Anode, SOT323-3, 0.2A, 40V, Auto;;D33;;Inverte Logica;1;;;;BAT54AWFILMY;;ST;Mouser;;;0;0;;;
SML-D12Y8WT86C;LED standard - SMD Yel 590nm 6.3mcd 2.2 V, 20mA, 0603 AECQ-102;;DL1;;Inverte Logica;1;;;;SML-D12Y8WT86C;;ROHM;Mouser;;;0;0;;;
SML-D12P8WT86C;LED standard - SMD Grn 560nm 6.3mcd 2.2 V, 20mA, 0603 AECQ-102;;DL2, DL4, DL6, DL7, DL8, DL9, DL11;;Inverte Logica;7;;;;SML-D12P8WT86C;;ROHM;Mouser;;;0;0;;;
SML-D12P8WT86C;"LED standard - SMD Grn 560nm 6.3mcd 2.2 V; 20mA; 0603 AECQ-102";;DL3, DL5;;Inverte Logica;0;;;;SML-D12P8WT86C;;ROHM;Mouser;;;0;0;;;
SML-D12U8WT86C;LED standard - SMD Red 620nm 63mcd 2.2 V, 20mA, 0603 AECQ-102;;DL10, DL12;;Inverte Logica;2;;;;SML-D12U8WT86C;;ROHM;Mouser;;;0;0;;;
BZT52H-B15;Zener Diode 2% SOD123;;DZ1, DZ2, DZ4, DZ5;;Inverte Logica;4;;;;BZT52H-B15;;Nexperia;Mouser;;;0;0;;;
BZT52H-B18;Zener Diode 2% SOD123;;DZ3, DZ11;;Inverte Logica;2;;;;BZT52H-B18;;Nexperia;Mouser;;;0;0;;;
BZT52H-B6V8;Zener Diode 2% SOD123;;DZ6;;Inverte Logica;1;;;;BZT52H-B6V8;;Nexperia;Mouser;;;0;0;;;
BZT52H-B5V1;Zener Diode 2% SOD123;;DZ7, DZ8, DZ9, DZ10;;Inverte Logica;4;;;;BZT52H-B5V1;;Nexperia;Mouser;;;0;0;;;
045401.5MR;454 Series Nano2 Fuse Slo-Blo, 1.5A, 125V, SMD;;F1;;Inverte Logica;1;;;;045401.5MR;;LITTLEFUSE;Mouser;;;0;0;;;
RF1350-000;Resettable Fuse PPTC, 50mA Hold, 150mA Trip, 3.6R min, 30V;;F2, F3;;Inverte Logica;2;;;;RF1350-000;;LITTLEFUSE;Mouser;;;0;0;;;
BLE18PS080SH1#;SMD EMI Suppression Ferrite Bead 120R, 0603;;FB1, FB2, FB4, FB6, FB11, FB12;;Inverte Logica;6;;;;BLE18PS080SH1#;;MURATA;Mouser;;;0;0;;;
BLM21PG221SH1D;SMD EMI Suppression Ferrite Bead 220R, 0805;;FB3;;Inverte Logica;1;;;;BLM21PG221SH1D;;MURATA;Mouser;;;0;0;;;
BLM18HE601SH1D;SMD EMI Suppression Ferrite Bead 600R, 0603, For DC Power;;FB5, FB8, FB13, FB14;;Inverte Logica;4;;;;BLM18HE601SH1D;;MURATA;Mouser;;;0;0;;;
BLM18AG121BH1D;SMD EMI Suppression Ferrite Bead 120R, 0603;;FB7, FB9, FB10, FB17;;Inverte Logica;4;;;;BLM18AG121BH1D;;MURATA;Mouser;;;0;0;;;
